"date","innlagt","dead"
"2403","0","0"
"2502","0","0"
"2602","0","0"
"2702","0","0"
"2802","0","0"
"2902","0","0"
"0103","0","0"
"0203","0","0"
"0303","0","0"
"0403","0","0"
"0503","0","0"
"0603","0","0"
"0703","0","0"
"0803","0","0"
"0903","0","0"
"1003","4","0"
"1103","6","0"
"1203","8","0"
"1303","9","0"
"1403","9","2"
"1503","12","2"
"1603","14","2"
"1703","21","2"
"1803","21","2"
"1903","26","3"
"2003","38","3"
"2103","55","3"
"2203","62","3"
"2303","79","4"
"2403","79","4"
"2503","91","4"
"2603","98","4"
"2703","126","7"
"2803","124","7"
"2903","139","8"
"3003","142","8"
"3103","136","9"
"0104","136","10"
"0204","128","12"
"0304","135","12"
"0404","140","12"
"0504","139","15"
"0604","142","15"
"0707","126","15"
"0804","111","21"
"0904","109","21"
"1004","101","21"
"1104","90","21"
"1204","92","23"
"1304","83","24"
"1404","85","24"
"1504","81","28"
"1604","72","28"
"1704","68","30"
"1804","61","30"
"1904","61","30"
"2004","66","38"
"2104","61","38"
"2204","58","41"
"2304","53","42"
"2404","47","43"
"2504","49","44"
"2604","52","45"
"2704","58","45"
"2804","57","45"
"2904","57","45"
"3004","45","45"
"0105","36","45"
"0205","37","45"
"0305","31","45"
"0405","34","45"
"0505","27","45"
"0605","23","45"
"0705","24","46"
"0805","23","46"
"0905","19","46"
"1005","20","46"
"1105","22","46"
"1205","22","46"
"1305","23","46"
"1405","23","46"
"1505","19","46"
"1605","19","46"
"1705","19","46"
"1805","20","46"
"1905","21","46"
"2005","23","46"
"2105","19","46"
"2205","21","46"
"2305","15","46"
"2405","19","46"
"2505","19","46"
"2605","16","46"
"2705","18","46"
